timestamp,trial_id,condition,intensity,duration_s,subjective_load,mean_mental_load,mean_heart_rate,mean_rmssd,mean_eda_tonic,mean_eda_phasic,mean_resp_rate,mean_score_rmssd_drop,mean_score_resp_deviation,mean_score_heart_deviation,mean_score_eda_phasic_rise,mean_score_eda_tonic_deviation,high_correct,high_total
19:50:19,1,REST,0,30,1,5.283967244964058,84.79539500306647,135.84433173704764,386.80906666666664,24.535535151738724,25.323001720199727,0.44426753944115804,0.7180347885476124,0.6807592474083061,0.000888999083780199,0.15592530230626195,,
19:51:26,2,HIGH,10,60,5,13.13050299335108,85.698181983861,172.5429224606924,379.62070247933895,24.101637964254333,28.705757308081346,0.21587652708179092,0.7831040131315127,0.5694937378654112,0.0,0.29489435164641103,12,13
19:52:06,3,REST,0,30,2,5.960322622620219,89.07632361651972,133.9032401661811,380.30258333333336,24.225969791151602,17.345448876965786,0.4501051515456309,0.804080938843575,0.8140452676299196,0.006925775709880739,0.2489401322558788,,
19:53:11,4,LOW,2,60,2,14.344902939144152,84.33478825270538,157.72005310849795,381.28121487603306,24.208302683364547,15.92138579669173,0.20221383168207238,0.7879719331403523,0.5390695226256098,0.23885648532964696,0.5613777421407049,,
19:53:50,5,REST,0,30,1,8.779225509463423,94.71884925469801,171.24280272934766,433.9006065573771,27.50238408388602,15.306871225664013,0.03753799723857755,0.694193886016778,0.9004896334944505,2.307626991162491,2.1100472911545625,,
19:54:59,6,HIGH,10,60,4,23.400116342997006,87.54057222760345,206.8334412946742,476.15939669421493,30.210146009241587,16.570071339435405,0.01785583252298665,0.3347555867572737,0.6824396056780289,2.7785185346152836,2.570082859106221,9,9
19:55:36,7,REST,0,30,1,5.415479483068067,97.81986150279398,176.0047684080557,476.2818500000001,30.192111207064368,19.13060772198247,0.13589664484657552,0.0007739622147123935,0.9802402209033158,1.8195502716974912,1.6293423993223788,,
19:56:42,8,LOW,2,60,3,20.99662839069156,86.70830428136044,194.2192556973131,513.4227768595042,32.4154867221328,17.391310184359693,0.18553928026238384,0.41723181596872927,0.4199806169569985,2.0314724491021274,1.925357921778578,,
19:57:17,9,REST,0,30,1,9.413448722949529,81.51655915253981,172.95962695742836,585.5372,37.05944478931115,15.291863297779454,0.29295971845198066,0.6215300222321322,0.861028466203073,2.1456831738060966,2.05504904433054,,
19:58:27,10,HIGH,10,60,4,24.859160424171773,91.39537880801856,164.78417296381872,602.6069752066117,38.29981626431425,17.877563406352653,0.3066571237083385,0.893792906375931,0.3917377380312917,1.5992463131264123,1.4046411524522213,11,12
19:59:01,11,REST,0,30,2,10.103285526234096,92.88868935728598,177.09314226470082,615.0745166666668,39.241457239600095,22.988910795021855,0.20651704461584217,1.6141826718817582,0.3122838398969621,1.3186082358293765,1.1196236397746724,,
20:00:09,12,LOW,2,60,3,29.96199856835406,87.38281386190125,181.6643362197133,649.0343140495868,41.227301350779385,27.360571071933723,0.2702123644565956,1.487312104176788,0.6007422170489513,1.393476838580252,1.2548025192339778,,
20:00:45,13,REST,0,30,1,10.398059500327381,83.536251958635,121.43037549429503,659.701344262295,41.86576886550171,26.207943605157745,0.7910609826226662,0.9055702557317736,0.6635492702885477,1.1539988363203997,1.027419883265719,,
