timestamp,trial_id,intensity,condition,phase,mental_load,quality,eda_tonic,eda_phasic,heart_rate,rmssd,heart_source,heart_peaks,resp_rate,resp_amplitude,score_rmssd_drop,score_resp_deviation,score_heart_deviation,score_eda_phasic_rise,score_eda_tonic_deviation,score_reference_source
19:47:52.462,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",349.3600000000001,32.29851034507011,nan,nan,none,0,nan,152.39859419810932,,,,,,none
19:47:52.954,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",349.69,30.64093869833706,nan,nan,none,0,nan,157.09150492690034,,,,,,none
19:47:53.452,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",355.74900000000014,29.23077162552895,nan,nan,none,0,nan,158.2785150451219,,,,,,none
19:47:53.949,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",371.192,28.006321961552917,nan,nan,none,0,nan,158.6458415080174,,,,,,none
19:47:54.461,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",371.192,26.952420826747876,nan,nan,none,0,nan,163.6053360426629,,,,,,none
19:47:54.956,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",371.192,25.99409046143154,nan,nan,none,0,nan,166.77396445547356,,,,,,none
19:47:55.449,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",371.192,25.207691442311795,100.98394614189539,182.90867484439693,ecg,14,nan,169.80669636158163,,,,,,none
19:47:55.955,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",371.192,24.455254022213616,108.75194199896427,194.55590456215918,ecg,15,nan,170.49683943026434,,,,,,none
19:47:56.456,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",369.49299999999994,23.731701794022356,104.98075352851978,165.30858589749226,ecg,16,nan,169.22312912341798,,,,,,none
19:47:56.951,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",366.714,23.10171419232053,104.98075352851978,165.30858589749226,ecg,16,nan,167.65870628577056,,,,,,none
19:47:57.459,0,0,IDLE,IDLE,0.0,limited:baseline,364.4240000000003,22.50586186550666,102.01912858661,159.73331942125705,ecg,17,32.75109170305677,165.74647195955637,,,,,,none
19:47:57.962,0,0,IDLE,IDLE,0.0,limited:baseline,363.52699999999993,22.39188109884983,96.0,168.12665293929876,ecg,16,28.68754482428879,162.80297926580803,,,,,,none
19:47:58.483,0,0,IDLE,IDLE,0.0,limited:baseline,362.53100000000006,22.454461275315754,96.0,168.12665293929876,ecg,16,28.68754482428879,159.72165835333823,,,,,,none
19:47:58.956,0,0,IDLE,IDLE,0.0,limited:baseline,361.2210000000001,22.455242027955478,95.55154474997347,168.05781318173982,ecg,16,28.68754482428879,156.39423950540055,,,,,,none
19:47:59.463,0,0,IDLE,IDLE,0.0,limited:baseline,360.331,22.304067114635348,98.42519685039372,140.91106617802794,ecg,16,16.0427807486631,153.104203179816,,,,,,none
19:47:59.959,0,0,IDLE,IDLE,0.0,limited:baseline,359.2590000000001,22.241888197531956,94.97678345293372,139.44584202170697,ecg,16,15.64673157162726,150.02928606292306,,,,,,none
