timestamp,trial_id,condition,intensity,duration_s,subjective_load,mean_mental_load,mean_heart_rate,mean_rmssd,mean_eda_tonic,mean_eda_phasic,mean_resp_rate,mean_score_rmssd_drop,mean_score_resp_deviation,mean_score_heart_deviation,mean_score_eda_phasic_rise,mean_score_eda_tonic_deviation,high_correct,high_total
18:44:48,1,REST,0,30,1,7.701222324925147,89.33571092946286,89.29959425907496,685.6427,43.579538751227105,19.33550162125109,0.6147857465570131,1.4675987386730867,0.5006462561726248,0.024874049511150475,0.24049382618401302,,
18:45:52,2,HIGH,10,60,4,21.76533435959274,85.75869039916417,93.72725725461333,669.0005371900827,42.61887148531812,15.019095849972192,0.24707392893567381,0.8185092725568531,1.5739304249625101,0.11295437550916503,0.9352762735390627,11,12
18:46:31,3,REST,0,30,1,2.854356010782139,89.23604637566388,108.98401919452182,644.1360491803279,40.621585820567766,17.492183401825304,0.0743011370762396,0.21109540095596002,0.49546842827673465,0.04390353883608028,0.6670409079950717,,
18:47:34,4,LOW,2,60,2,27.59159283510287,78.45796248871893,84.49801886558738,660.0018760330577,41.917121711616424,18.772783996259644,0.7827072764244299,0.5193954846346125,2.7773893692030387,0.03137105262112888,0.14953265474875047,,
18:48:10,5,REST,0,30,1,6.464704906002038,78.80631430877415,99.40861236241639,638.0329836065574,40.58202475176348,16.47654155546604,0.43794463078431506,0.3090755635689519,1.6701175395572072,0.0026769428092468213,0.46607601524990144,,
18:49:21,6,HIGH,10,60,4,24.43120498665336,80.35381052995908,106.02390820578498,536.5426859504132,34.14037398037437,15.820957882498684,0.6395890793736683,0.44866958925435,0.8930216047532257,0.0,2.8365483476864894,13,13
18:49:55,7,REST,0,30,2,7.600781879055854,88.75898762769495,139.1051602417566,715.3305737704918,44.27481079254,18.23346257258891,0.14683706803244598,0.3568399085068928,0.5376166820774199,1.3508036307181999,1.808474245838077,,
18:51:12,8,LOW,2,60,2,21.028185744772347,80.35566041057984,92.37572572345951,687.9311983471075,44.10662399368674,17.15260744668382,0.5550390303746305,0.6111763275336717,0.8921416703564861,0.6337618128812018,0.40711351267392215,,
18:52:11,9,REST,0,30,2,6.141444092201782,79.99006088143078,97.4214671021531,623.9121833333334,39.71579605919043,18.420216205052345,0.3410993840434691,0.9761234842421563,1.0611617309563592,0.0,0.3230711809340637,,
18:53:16,10,HIGH,10,60,4,26.6288190469637,78.59168548898766,50.21882232775946,530.8686363636364,34.000574751424374,17.34052720818017,1.353810797307919,0.5784731145790066,0.5876557889575803,0.0,1.7732208737060204,14,16
18:53:52,11,REST,0,30,1,7.583063025238725,81.9705271508905,68.44356230737102,533.5377868852459,33.52194945916462,18.34227857526448,0.8337121964244486,0.4537535211972021,0.9852366973359417,0.0,1.2223004052575606,,
18:54:58,12,LOW,2,60,2,17.832285895821038,79.26209466980997,70.20505337373736,555.8061900826447,35.13163001148936,15.202202547789343,0.702551685281028,0.8592676156682704,0.3551392358741937,0.0063360651419384325,0.6743525313763469,,
18:55:41,13,REST,0,30,1,5.557711592145121,81.63747230599577,63.579538886793394,590.0392622950819,37.61077572308685,16.80474311699484,0.6851390573184621,0.7340857194611458,0.557771536342711,0.0,0.05547761043871542,,
