timestamp,trial_id,intensity,condition,phase,mental_load,quality,eda_tonic,eda_phasic,heart_rate,rmssd,heart_source,heart_peaks,resp_rate,resp_amplitude,score_rmssd_drop,score_resp_deviation,score_heart_deviation,score_eda_phasic_rise,score_eda_tonic_deviation,score_reference_source
18:42:51.991,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",641.6339999999998,56.559650684394526,nan,nan,none,0,nan,121.51259157124417,,,,,,none
18:42:52.487,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",641.3729999999998,54.273474473001926,nan,nan,none,0,nan,118.4475346282232,,,,,,none
18:42:52.984,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",641.0049999999995,52.023984957131454,nan,nan,none,0,nan,127.66966763215747,,,,,,none
18:42:53.479,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",640.405,49.47630771819002,nan,nan,none,0,nan,133.07142513711824,,,,,,none
18:42:54.009,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",639.21,48.46358759816196,nan,nan,none,0,nan,129.03494681326467,,,,,,none
18:42:54.493,0,0,IDLE,IDLE,0.0,"limited:cardiac,respiration,baseline",638.4209999999998,47.11244439296982,nan,nan,none,0,nan,126.00054659006665,,,,,,none
18:42:54.979,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",639.9660000000001,45.55391984102946,116.38432691064271,182.18828565133222,ecg,16,nan,123.28911823839118,,,,,,none
18:42:55.484,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",641.1009999999998,44.20136184143169,117.6759009561167,176.78461471519515,ecg,17,nan,120.71778315923008,,,,,,none
18:42:55.986,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",642.0759999999998,43.065522166426696,118.35692736133674,171.39446461306736,ecg,18,nan,117.38927931280712,,,,,,none
18:42:56.491,0,0,IDLE,IDLE,0.0,"limited:respiration,baseline",643.0020000000002,42.58937034001648,118.35692736133674,171.39446461306736,ecg,18,nan,114.33788299727772,,,,,,none
18:42:56.984,0,0,IDLE,IDLE,0.0,limited:baseline,643.19,42.391390103053034,115.07725093233884,182.18704028294334,ecg,19,14.77104874446086,137.6670332853512,,,,,,none
18:42:57.487,0,0,IDLE,IDLE,0.0,limited:baseline,643.7850000000001,42.735206255048865,113.79201348646087,184.41545169407416,ecg,19,17.821782178217827,182.7628841948743,,,,,,none
18:42:57.997,0,0,IDLE,IDLE,0.0,limited:baseline,644.5869999999996,42.856971556512285,113.96011396011397,191.69967320233582,ecg,19,17.633228840125394,204.22274560814049,,,,,,none
18:42:58.498,0,0,IDLE,IDLE,0.0,limited:baseline,645.917,41.782118741963465,111.67068097219183,188.95039031449497,ecg,18,17.633228840125394,202.29244004557285,,,,,,none
18:42:58.996,0,0,IDLE,IDLE,0.0,limited:baseline,646.2700000000002,42.63018518433965,115.70080178625803,178.53508836578254,ecg,20,17.633228840125394,204.86232191060458,,,,,,none
18:42:59.493,0,0,IDLE,IDLE,0.0,limited:baseline,649.8520000000001,41.57523211267559,114.15283796638832,173.95570768242737,ecg,19,17.633228840125394,206.10921827962957,,,,,,none
18:42:59.989,0,0,IDLE,IDLE,0.0,limited:baseline,658.0780000000002,41.63224506883496,117.73683636760056,184.99952305184942,ecg,19,17.633228840125394,206.3602598362113,,,,,,none
18:43:00.488,0,0,IDLE,IDLE,0.0,limited:baseline,668.0419999999999,41.676344751770934,113.52885525070954,187.3413053917431,ecg,19,17.633228840125394,205.1920969738923,,,,,,none
18:43:00.999,0,0,IDLE,IDLE,0.0,limited:baseline,677.646,42.4150238767161,112.42973141786382,181.24163266690326,ecg,19,17.633228840125394,202.7102027170481,,,,,,none
18:43:01.484,0,0,IDLE,IDLE,0.0,limited:baseline,684.202,42.138535189035906,115.8418859871964,159.04209785113153,ecg,20,17.634956402468895,199.8463849172049,,,,,,none
